hgnc	ensembl_gene_id	chromosome	start	end	strand	log2FC	pvalue	padj
KLRC4	ENSG00000183542	12	10451250	10453623	-	-8.05014861093517	3.75406956723603e-07	1.5372011247436e-06
FAM187A	ENSG00000214447	17	40332668	40338284	+	-7.60129828984929	3.28837362333019e-06	1.20744407442444e-05
MUC5AC	ENSG00000215182	11	1152663	1178504	+	-5.6190274539314	0.0211718228979532	0.0408981066444722
MUC5AC.1	ENSG00000196292	11	1141627	1152360	+	-5.6190274539314	0.0211718228979532	0.0408981066444722
MSMB	ENSG00000138294	10	51219559	51232596	+	-5.60123942958029	0.00844615713161347	0.0178555774251618
KLRC3	ENSG00000205810	12	10456188	10464461	-	-5.4340641652468	2.65334429840506e-16	2.40609271432291e-15
DAPL1	ENSG00000163331	2	159360075	159418540	+	-5.40859993700427	0.00173974568387683	0.00423328666406314
ATRNL1	ENSG00000107518	10	116843114	117698486	+	-5.3826566649519	8.02580745845719e-05	0.000244190234172982
KLRC2	ENSG00000205809	12	10474477	10479859	-	-4.71104144046576	3.07376716484214e-12	2.07788515735984e-11
MS4A7	ENSG00000166927	11	59902534	59920000	+	-4.45282463635524	0.024847882452015	0.047232063970669
GBP2	ENSG00000162645	1	89345898	89364387	-	-4.34958510897016	3.67567259193243e-26	6.23704090441666e-25
ST18	ENSG00000147488	8	53185952	53484848	-	-4.22075003736654	7.02258591701466e-12	4.58583732452672e-11
FBLN7	ENSG00000144152	2	112612433	112662262	+	-4.07271810664604	3.12314192503492e-29	6.11835340095398e-28
C4orf34	ENSG00000163683	4	39228943	39316876	-	-4.0555709855532	6.58428022946069e-78	7.0227096828351e-76
AGR2	ENSG00000106541	7	16797963	16811136	-	-3.98719451084872	0.0137115957435319	0.027688975987577
NEBL	ENSG00000078114	10	21110098	21502768	-	-3.95718012421472	1.7907683169515e-13	1.3310915603712e-12
NAALADL2	ENSG00000177694	3	176297261	177006122	+	-3.93135100690485	3.60823512044302e-08	1.65278906790541e-07
FOXP2	ENSG00000128573	7	113841565	114121063	+	-3.91349464546023	5.00471229016569e-05	0.000156881765733464
KLRK1	ENSG00000213809	12	10402872	10454012	-	-3.87868797230423	0.000353107472378304	0.000968056165094253
ITIH4	ENSG00000055955	3	52822046	52839734	-	-3.812014094761	0.0130220770950207	0.0264395972322079
CRLF1	ENSG00000006016	19	18565047	18578660	-	-3.73318538096575	3.28393892782345e-11	2.01981030897114e-10
MMD	ENSG00000108960	17	50824973	50854340	-	-3.67186906568313	4.03826683085463e-72	3.84895517303939e-70
PCDH15	ENSG00000150275	10	55232537	57057708	-	-3.66865584121023	6.65761815009066e-05	0.000204787663811097
FSTL4	ENSG00000053108	5	132560051	132976122	-	-3.56899553011836	6.59761880514461e-52	3.17797129470747e-50
RHBDL3	ENSG00000141314	17	27617308	27675793	+	-3.50728953262605	0.0078264828570105	0.0166371564560842
MYCN	ENSG00000134323	2	15998134	16004579	+	-3.50317901357052	0.000589764511482081	0.001555002014873
DYNC1I1	ENSG00000158560	7	95239802	95565671	+	-3.40328895101585	0.000355908107758938	0.000974144411440402
HCP5	ENSG00000206337	6	31538938	31541460	+	-3.3261315700459	3.62455405287961e-42	1.23944992154323e-40
SLC6A12	ENSG00000111181	12	169513	193068	-	-3.30958025183508	9.92648681903989e-06	3.43024058526812e-05
PLCL1	ENSG00000115896	2	198656724	198721293	+	-3.28862857882409	5.86017611406671e-16	5.20177719926965e-15
MOV10L1	ENSG00000073146	22	48870610	48942246	+	-3.27707202189326	1.37080528009984e-11	8.68155144168789e-11
IFIT2	ENSG00000119922	10	91051692	91059013	+	-3.27420203093183	5.10965457396576e-72	4.83582026898069e-70
FOLH1	ENSG00000086205	11	49124766	49186798	-	-3.24402326382559	2.40543716420423e-27	4.3333337868285e-26
ATP8A1	ENSG00000124406	4	42105147	42353879	-	-3.23669785136432	2.10621276154742e-51	9.79425373786707e-50
ACSM3	ENSG00000005187	16	20682813	20715979	+	-3.22798338752642	0.00538505028618342	0.0118814136916794
CACNA1E	ENSG00000198216	1	179648918	180037339	+	-3.22416620883463	0.00870893065789227	0.0183477275358614
STRA6	ENSG00000137868	15	72258863	72288419	-	-3.2201788809371	8.13238690583129e-11	4.81034980754695e-10
ALOX12B	ENSG00000179477	17	7916679	7931746	-	-3.2195393362535	0.00362830936053042	0.00829830658546091
STON1	ENSG00000068781	2	48610568	48857142	+	-3.18730789504896	1.98800526850294e-28	3.77355971799591e-27
DDO	ENSG00000203797	6	110819667	110847425	-	-3.17053222779278	0.00416238245854013	0.00939665006892672
POLN	ENSG00000130997	4	2043443	2200756	-	-3.15693461882632	1.9170934312946e-14	1.52719731020558e-13
SCUBE1	ENSG00000159307	22	41929174	42069299	-	-3.11643238202194	1.0736141526511e-09	5.74349951685427e-09
DLC1	ENSG00000164741	8	12985243	13416766	-	-3.1163361055088	0.0208306421217867	0.0403143720441663
PLCXD3	ENSG00000182836	5	41342805	41546487	-	-3.10007578270098	0.00100811175999718	0.00256688403611255
ARMCX4	ENSG00000196440	X	100627118	100675102	+	-3.09618184613668	0.00517146345942475	0.0114534109148334
C10orf33	ENSG00000119943	10	100133316	100164931	-	-3.08950722011149	5.1708924448962e-17	4.92848394091915e-16
B3GAT1	ENSG00000109956	11	133753610	133787022	-	-3.08913100362048	1.34972026375189e-12	9.42734312454196e-12
ANKRD20B	ENSG00000172014	9	68671801	68714929	+	-3.07820430586167	0.00577990557341654	0.0126528996581112
CYP3A5	ENSG00000106258	7	99083759	99115555	-	-3.07291842298609	7.99220482126106e-14	6.08884583860132e-13
CACNA2D1	ENSG00000153956	7	81417354	81910967	-	-3.0675644050678	0.000418473855302552	0.00113270294892467
CCNE2	ENSG00000175305	8	95951746	95976660	-	-3.05952786624702	4.77315915971136e-126	1.30911195810941e-123
PI15	ENSG00000137558	8	75899327	75929819	+	-3.04947932498404	1.77394851833288e-48	7.59238666811326e-47
LRRK2	ENSG00000188906	12	38905080	39049342	+	-2.98650676559508	2.72477090336324e-08	1.26313198241803e-07
TP63	ENSG00000073282	3	190831910	191107935	+	-2.94855794259784	4.54051696363907e-06	1.6332978446024e-05
SLC2A4	ENSG00000181856	17	7125778	7132090	+	-2.93069497258921	0.000313044435223262	0.000865816868690146
ANKFN1	ENSG00000153930	17	51585835	51915006	+	-2.90359492573952	0.000828189822807996	0.00213628465042546
PRRG4	ENSG00000135378	11	32808065	32832679	+	-2.88386063645418	1.02096545628468e-24	1.60476663941635e-23
C9orf170	ENSG00000204446	9	88953379	88964461	+	-2.85818595497169	0.00433688915248564	0.00976272249920511
NOTUM	ENSG00000185269	17	77503678	77512459	-	-2.76586469087002	2.80347083872269e-12	1.90090033307741e-11
ECEL1	ENSG00000171551	2	233052781	233060782	-	-2.76197200455925	0.000442701828245422	0.00119515264559868
RARB	ENSG00000077092	3	25190893	25614424	+	-2.75049011076638	6.58295197408318e-14	5.03805760704464e-13
RANBP3L	ENSG00000164188	5	36284862	36337761	-	-2.7255548699839	0.00322122887805065	0.00744199671516635
ZNF117	ENSG00000152926	7	64072265	64088849	-	-2.69532119563935	0.00248102667462241	0.00584443777042079
CTSO	ENSG00000151792	4	157064728	157094498	-	-2.69096739230579	7.72840515993563e-08	3.40754714384432e-07
OAS2	ENSG00000111335	12	111900657	111933911	+	-2.68215580641044	0.00945990304638522	0.0198024356760702
ODAM	ENSG00000109205	4	71096833	71104881	+	-2.68200045041767	5.48859801474888e-08	2.45870895734034e-07
RDH5	ENSG00000135437	12	54400488	54404754	+	-2.68133293087806	0.000268226966127286	0.000750510555441308
GUCY1B2	ENSG00000123201	13	50466770	50538344	-	-2.67821442790699	0.000200992841544736	0.000574100488314498
VIT	ENSG00000205221	2	36777411	36895433	+	-2.67333057204611	1.51022764231473e-36	4.13359455907692e-35
TNFRSF13C	ENSG00000159958	22	40650991	40652728	-	-2.6717097548595	0.0169889057598174	0.0336597235008382
EPDR1	ENSG00000086289	7	37926688	37958065	+	-2.65684542083458	3.11326602815788e-83	3.9846840145156e-81
PPFIA4	ENSG00000143847	1	201262249	201314487	+	-2.65579558705925	2.03648276751266e-13	1.50540659585273e-12
KIAA1853	ENSG00000139767	12	117903779	118085240	+	-2.64667297655147	9.25344587094804e-07	3.63192345384552e-06
SLC1A2	ENSG00000110436	11	35229329	35398186	-	-2.64446553699098	8.95669150671023e-14	6.80820006553613e-13
DUSP5P	ENSG00000183929	1	226842808	226854773	+	-2.64180043721328	5.64345596881106e-08	2.5230340906471e-07
SOX5	ENSG00000134532	12	23576499	23993904	-	-2.6403208429664	0.00515070014563208	0.0114111868211588
