ensembl_transcript_id	ensembl_gene_id	chromosome	start	end	strand	log2FC	pvalue	padj
ENST00000261721	ENSG00000064726	15	81476189	81527110	-	-2.00568546616073	7.92979219290454e-121	7.60424302645072e-118
ENST00000400388	ENSG00000206452	c6_QBL	31369233	31372604	-	-2.00665512596367	5.99107587105022e-91	2.98958166381307e-88
ENST00000252900	ENSG00000130600	11	1972984	1975648	-	-2.01007557249603	3.54893103054675e-174	9.29203892359402e-171
ENST00000404455	ENSG00000175899	12	9096693	9160020	-	-2.01658824667992	3.33522400969708e-88	1.56237170678362e-85
ENST00000394210	ENSG00000107864	10	93798379	94040824	-	-2.0171707719	3.84647881798972e-05	0.000183844608212681
ENST00000397910	ENSG00000181143	19	8885135	8952814	-	-2.01737550609703	2.22987761444187e-05	0.000150630385093178
ENST00000312841	ENSG00000168453	8	22027877	22045326	-	-2.02494696015748	2.35062178189021e-05	0.000119397695009018
ENST00000409134	ENSG00000164904	5	125905432	125959009	-	-2.03062803783253	1.62113102931437e-06	1.04774407114595e-05
ENST00000361148	ENSG00000122952	10	57787205	57791040	-	-2.03174314659226	0.000192058637299945	0.000819151649672283
ENST00000395750	ENSG00000110436	11	35229329	35398186	-	-2.03233963767231	0.00105700973598673	0.00379998331187592
ENST00000263168	ENSG00000116489	1	112963306	113015764	+	-2.03714288466047	3.63985828692436e-23	1.03647979452017e-21
ENST00000383605	ENSG00000206505	c6_QBL	30041270	30045910	+	-2.03864898308755	3.38114467379467e-135	5.32174644308999e-132
ENST00000376237	ENSG00000204525	6	31344505	31432935	-	-2.03879241733854	3.44736360443261e-17	4.80423094017899e-16
ENST00000345660	ENSG00000169919	7	65063106	65084681	-	-2.04101142476003	2.29606048746836e-15	4.07434805385779e-14
ENST00000371122	ENSG00000102038	X	128408159	128485158	-	-2.04894334726742	1.53345659894366e-08	1.343449968935e-07
ENST00000381077	ENSG00000130021	X	6976961	7076189	-	-2.06294834102131	4.96984917436627e-22	1.40033769416806e-20
ENST00000308120	ENSG00000174473	4	172971229	174199266	+	-2.06807926856714	6.84823509130328e-11	7.42046791963259e-10
ENST00000298130	ENSG00000165389	14	33971896	34001219	-	-2.0710697854802	9.94984264890902e-25	3.10714266921778e-23
ENST00000306833	ENSG00000170456	12	31426424	31635219	-	-2.08976568233158	1.34105339504664e-91	8.2848973203793e-89
ENST00000319516	ENSG00000137203	6	10504902	10527783	-	-2.09654390449306	5.12213707271247e-15	9.05796160147705e-14
ENST00000296578	ENSG00000164164	4	146274252	146320575	-	-2.10570626991183	8.94905641532212e-41	5.82867104248137e-39
ENST00000223423	ENSG00000095303	9	124173050	124197802	+	-2.11201382868579	7.3840089795945e-56	1.40666327540529e-53
ENST00000347404	ENSG00000049130	12	87410697	87498369	-	-2.11281028926174	1.27770104448604e-16	3.93857126262447e-15
ENST00000382862	ENSG00000102854	16	752638	758866	+	-2.11836645913641	1.34650953734196e-101	8.3111265307561e-99
ENST00000267115	ENSG00000139644	12	48421630	48460589	+	-2.12196066238557	1.72028751519038e-78	8.81425895774744e-76
ENST00000327155	ENSG00000101773	18	18767293	18860447	+	-2.13153288173176	4.16915634371805e-25	1.31983789868074e-23
ENST00000265317	ENSG00000124006	2	220123708	220144430	-	-2.14176870529561	4.73792977636585e-05	0.000223479485405191
ENST00000342066	ENSG00000187634	1	850393	869824	+	-2.1438729294199	0.000119080003857338	0.000714205166495821
ENST00000367249	ENSG00000159348	1	201197627	201203027	-	-2.16080166860043	3.72478707076907e-49	3.62803501227532e-47
ENST00000354497	ENSG00000133318	11	63205498	63283913	+	-2.16411354739187	2.15992493231543e-65	5.41405917684775e-63
