hgnc	ensembl_gene_id	chromosome	start	end	strand	log2FC	pvalue	padj
SAA1	ENSG00000173432	11	18244348	18248102	+	6.4213375931713	6.99689386722005e-06	2.94084546962815e-05
IGHG4	ENSG00000211892	14	105159294	105163447	-	6.12818837008951	0.000213032492117786	0.0026558604282005
UNC13A	ENSG00000130477	19	17573137	17647978	-	5.88757360576223	4.84218133370265e-43	2.72293407520196e-41
TFEC	ENSG00000105967	7	115362448	115458103	-	5.69639534366087	3.92341098476118e-05	0.000534103093306172
GOLGA7B	ENSG00000155265	10	99599986	99617772	+	5.65792437388469	0.000540236693824811	0.00538074375570905
PADI1	ENSG00000142623	1	17404208	17445088	+	5.50895080324625	6.9011393566515e-05	0.000833807826187904
SCG2	ENSG00000171951	2	224169906	224175369	-	5.46226522249792	3.57609094000778e-84	1.03603397557101e-81
PVRL4	ENSG00000143217	1	159308120	159325966	-	5.06135282032643	4.59222203527407e-13	4.8431291809194e-12
UGT1A9	ENSG00000167165	2	234191093	234346688	+	4.89824042361576	4.53931040215328e-14	5.22040327846191e-13
IL6	ENSG00000136244	7	22732028	22738146	+	4.56012935177471	3.42354825399597e-17	5.04156644075941e-16
IL1B	ENSG00000125538	2	113303808	113310827	-	4.53869162224346	6.78952449282583e-09	4.4058676625597e-08
ACTG2	ENSG00000163017	2	73973601	74000500	+	4.4716957318878	6.50888460277369e-22	1.3056364423007e-20
CNTD2	ENSG00000105219	19	45419962	45424404	-	4.3611863025107	0.00171137389116073	0.0149893281414887
KIR2DL5B	ENSG00000188484	NT_113949	86746	96246	+	4.35344514598484	4.35946636879232e-17	5.58472942013316e-16
F2RL2	ENSG00000164220	5	75947064	75954996	-	4.31024421669265	9.08329747636004e-09	5.03099737491279e-08
MYO7B	ENSG00000169994	2	128009848	128111773	+	4.19899656110697	4.46164400141864e-11	3.21399141958367e-10
HMOX1	ENSG00000100292	22	34107087	34120194	+	4.15041586097618	2.54332954366433e-137	2.49402087158122e-134
DMRT1	ENSG00000137090	9	831690	959088	+	4.10412248202968	0.000657848383552873	0.00690918381587862
ACP5	ENSG00000102575	19	11546477	11550766	-	3.9810863924534	1.80615492392089e-07	9.60587370377957e-07
KCNH1	ENSG00000143473	1	208923178	209374080	-	3.92227353674607	3.31486401502628e-08	1.7106570116419e-07
TNNT2	ENSG00000118194	1	199594759	199613431	-	3.85144523735888	0.00124395462070731	0.00976845725592271
IGFN1	ENSG00000163395	1	199449165	199464292	+	3.78467855767731	5.36068420479347e-33	1.82346054819854e-31
C9orf85	ENSG00000155621	9	73716243	73787609	+	3.72615789263256	7.59132612760583e-89	2.52918695518291e-86
IL7R	ENSG00000168685	5	35892748	35912678	+	3.69818736167388	5.64865867814228e-12	5.27159092460802e-11
RSPO3	ENSG00000146374	6	127481749	127560347	+	3.66082413893979	5.62425924277616e-15	6.83337691147597e-14
MFSD2	ENSG00000168389	1	40193407	40208214	+	3.6464336740859	3.88603605589886e-09	2.56201003392254e-08
IL1A	ENSG00000115008	2	113247966	113259442	-	3.62804954598949	3.62590548392224e-27	9.45059062315038e-26
NLRP1	ENSG00000091592	17	5345443	5428556	-	3.62725845350792	2.08746059515756e-06	3.13971575206755e-05
SLAMF7	ENSG00000026751	1	158975701	158991224	+	3.60385560861513	0.00160685364475718	0.0134911068412968
MARCH4	ENSG00000144583	2	216830834	216944995	-	3.55733997837448	0.00384487635813635	0.0347636244312181
AGT	ENSG00000135744	1	228904897	228916564	-	3.53826759959299	6.96398604642185e-06	9.53996428626002e-05
GPR17	ENSG00000144230	2	128120039	128129024	+	3.49754981762855	0.00392877430118373	0.0298181130679669
FAM49A	ENSG00000197872	2	16594890	16710580	-	3.41746546699187	0.00544910607349821	0.0415108245533936
ARHGAP30	ENSG00000186517	1	159283356	159306384	-	3.38592118460192	0.00289065893814067	0.02716018649541
PDGFRL	ENSG00000104213	8	17478443	17545655	+	3.3457568698575	7.96406252707432e-12	7.1660143810654e-11
ICAM1	ENSG00000090339	19	10242765	10258291	+	3.34462481780739	1.80543974312306e-11	1.55964242926959e-10
DUSP5	ENSG00000138166	10	112247615	112261291	+	3.3292130250316	5.15992175439817e-60	9.70835522151395e-58
ELOVL3	ENSG00000119915	10	103976133	103979329	+	3.32905728794016	1.06320114648272e-08	6.7116522000225e-08
SERPINE1	ENSG00000106366	7	100557172	100569026	+	3.28752795964801	2.53878671151578e-14	2.97145093023322e-13
