ensembl_transcript_id	ensembl_gene_id	chromosome	start	end	strand	log2FC	pvalue	padj
ENST00000349830	ENSG00000104728	8	1759549	1894206	+	11.4884328941236	1.76108601379466e-12	2.16239505006799e-11
ENST00000345148	ENSG00000103222	16	15950935	16144432	+	10.95211728738	2.16337564639843e-10	2.30930797362871e-09
ENST00000342467	ENSG00000138750	4	77254842	77288679	-	10.935201120504	1.18018985046026e-10	1.61994457568022e-09
ENST00000399338	ENSG00000205726	21	33936576	34184448	+	10.8866776701536	1.52729199718568e-10	2.06161368324256e-09
ENST00000347617	ENSG00000137309	6	34312628	34321986	+	10.8372702639005	2.65473538222826e-10	3.4602165603596e-09
ENST00000375356	ENSG00000204348	6	32045566	32048011	-	10.8022078770454	3.06161750729001e-10	3.19417522049178e-09
ENST00000327238	ENSG00000155229	10	99208071	99248503	-	10.8015674561272	3.92520060554031e-09	3.24753786319799e-08
ENST00000399464	ENSG00000215041	17	7159675	7173362	-	10.7940245714163	2.30592605585534e-10	2.42088207044401e-09
ENST00000247774	ENSG00000169957	16	30442858	30445365	-	10.7829524622783	4.24437239456629e-10	5.40709492894072e-09
ENST00000292520	ENSG00000160949	8	145624999	145640635	-	10.7782102836662	2.50389602936713e-10	2.40659739518021e-09
ENST00000388837	ENSG00000111057	12	51628922	51632951	+	10.7608120145482	3.51981630870167e-10	4.53133416494901e-09
ENST00000340165	ENSG00000177426	18	3402072	3448404	+	10.7405472864121	3.73240076922305e-10	3.86408268710565e-09
ENST00000374026	ENSG00000196821	6	34663050	34772603	-	10.7352828834522	4.26412109262113e-10	4.37833514571176e-09
ENST00000396431	ENSG00000070882	7	24802691	24986285	-	10.7032143073733	5.07643929310437e-10	5.16998460435877e-09
ENST00000405938	ENSG00000100109	22	25217191	25238471	-	10.6900233262858	8.60490981997447e-10	5.93736813763120e-09
ENST00000354667	ENSG00000122566	7	26196081	26206942	-	10.542117462088	3.07590955886855e-09	2.56067479594511e-08
ENST00000383169	ENSG00000206265	c6_COX	32074452	32084029	+	10.5420823593292	2.22851059136217e-09	1.49046695406727e-08
