TranscriptID	Gene	fpkm_Mock_control	fpkm_METTL3_KD	lnFC	pval	adjp
ENST00000341065	SAMD11	5.99199	2.84796	-0.743822	5.70668e-11	5.0229e-10
ENST00000342066	SAMD11	9.80047	2.65936	-1.30434	0	0
ENST00000379370	AGRN	29.2426	12.4651	-0.852691	0	0
ENST00000379110	SCNN1D	0	0.13402	Inf	0.00774419	0.0239895
ENST00000378756	ATAD3A	2.45688	7.84565	1.16107	0	0
ENST00000378755	ATAD3A	3.88677	0.811684	-1.56622	0	0
ENST00000378759	ATAD3A	3.55069	0.418744	-2.13764	0	0
ENST00000339113	ATAD3A	3.51155	8.53908	0.888595	3.98348e-13	4.1466e-12
ENST00000378427	C1orf93	1.60339	0.689065	-0.844542	0.000219976	0.000932865
ENST00000340401	ARHGEF16	6.26793	3.11472	-0.699306	1.69573e-11	1.56052e-10
ENST00000344579	TPRG1L	3.69436	8.50595	0.833958	0.00056353	0.0022201
ENST00000338895	DFFB	0	0.232611	Inf	0.0110547	0.0329272
ENST00000378206	DFFB	1.43125	2.95078	0.723525	3.56486e-05	0.000170513
ENST00000378097	KCNAB2	3.79689	8.64348	0.822622	0	0
ENST00000378092	KCNAB2	2.35938	5.97711	0.929539	1.49595e-05	7.55831e-05
ENST00000378087	KCNAB2	3.82891	8.75991	0.827605	0.000519832	0.00205974
ENST00000378083	KCNAB2	0	0.137921	Inf	0.000908263	0.00343389
ENST00000377828	ESPN	0.770784	0.211985	-1.29089	4.16028e-05	0.000196856
ENST00000054650	THAP3	0	0.482669	Inf	0.000141937	0.000621423
ENST00000303635	CAMTA1	0.153857	0.017031	-2.20098	0.00230571	0.00803523
ENST00000361923	PER3	1.00771	0.215335	-1.54324	1.64078e-11	1.51089e-10
ENST00000302692	SLC25A33	5.92292	15.3294	0.950942	7.10543e-15	8.30059e-14
ENST00000361110	PIK3CD	0	0.103008	Inf	0.00213439	0.00748439
ENST00000360563	PIK3CD	0	0.134186	Inf	0.000909318	0.00343758
ENST00000377205	NMNAT1	2.21347	0.628203	-1.25945	4.48819e-12	4.32549e-11
ENST00000377192	RBP7	0.149586	0.0115735	-2.55915	0.000286495	0.00119099
ENST00000343090	UBE4B	0.116888	0.331367	1.04201	0.0039475	0.0131166
ENST00000263934	KIF1B	4.5603	1.88689	-0.882456	1.16303e-06	6.7762e-06
ENST00000362692	U6	2.96432	7.05996	0.867792	0	0
ENST00000340156	APITD1	4.78064	0.0858921	-4.01924	8.34857e-09	6.08302e-08
ENST00000377049	APITD1	0.55137	2.62715	1.56125	9.67444e-05	0.000434
ENST00000407345	RP4-647M16.1	58.5991	3.61276	-2.78625	2.22045e-16	2.894e-15
ENST00000376804	UBIAD1	0.60683	0	-Inf	0.00996731	0.0300644
ENST00000251546	FBXO44	1.80677	0.836843	-0.769659	0.000127975	0.000563996
ENST00000251547	FBXO44	2.5414	0.631574	-1.39226	6.90958e-12	6.56716e-11
ENST00000376760	FBXO44	1.42187	0.07527	-2.93865	2.22863e-05	0.000109671
ENST00000376620	C1orf167	0.00190579	0	-Inf	4.99238e-314	7.33587e-313
ENST00000312413	CLCN6	1.83346	5.56569	1.11041	0	0
ENST00000346436	CLCN6	2.38962	5.41264	0.817603	0	0
ENST00000376487	CLCN6	0.323189	2.50492	2.04777	5.4816e-05	0.00025513
ENST00000362477	U5	7.17113	54.6122	2.03019	1.28307e-06	7.43334e-06
ENST00000376369	PLOD1	2.53675	0.654131	-1.35533	4.42357e-12	4.26508e-11
ENST00000011700	VPS13D	4.88635	2.39058	-0.714909	0	0
ENST00000356315	VPS13D	0.215971	1.11023	1.63718	1.42148e-05	7.20274e-05
ENST00000358136	VPS13D	4.88836	2.43413	-0.697267	0	0
ENST00000376014	TMEM51	0.0692115	1.55703	3.11337	1.18379e-05	6.06462e-05
ENST00000400796	TMEM51	1.25076	0.594402	-0.743952	0.0147601	0.0424706
ENST00000375975	EFHD2	0.535598	4.885	2.21054	5.77316e-15	6.78924e-14
ENST00000375793	PLEKHM2	2.50601	8.79576	1.25558	0	0
ENST00000406331	RP11-5P18.1	0	0.0928598	Inf	2.0784e-57	2.81635e-56
ENST00000375541	CROCC	1.28883	0.598908	-0.766386	4.13579e-07	2.54319e-06
ENST00000375480	AL590644.14	0.0614148	0.311115	1.62251	0.000813147	0.00310359
ENST00000375471	PADI1	0.0222907	0.5889	3.27409	7.99683e-05	0.00036303
ENST00000375460	PADI3	0	0.069707	Inf	0.0125304	0.0367534
ENST00000361221	ARHGEF10L	0.490884	0.225326	-0.77866	0.0100238	0.030214
ENST00000167825	ARHGEF10L	0.0982059	0.403933	1.41418	0.00267031	0.0091802
ENST00000375406	ACTL8	0.126741	0.646419	1.6293	0.00298014	0.0101527
ENST00000375153	PQLC2	0.262118	0.796432	1.11135	0.00430113	0.0141539
ENST00000386833	AL445163.22	0	0.221792	Inf	0	0
ENST00000375138	C1orf151	130.396	260.861	0.693414	1.53211e-14	1.74403e-13
ENST00000322753	C1orf151	6.1097	12.9939	0.754605	3.9968e-15	4.73819e-14
ENST00000289749	NBL1	5.88439	0.586131	-2.30651	0	0
ENST00000375136	NBL1	5.89033	12.7196	0.769835	5.77316e-14	6.36449e-13
ENST00000289753	HTR6	0.0302059	0.430344	2.65655	0.00982642	0.0296902
ENST00000318249	NBPF3	0.372978	1.40828	1.32861	6.33714e-07	3.81223e-06
ENST00000374651	ZBTB40	1.12807	0.17318	-1.87393	0	0
ENST00000404138	ZBTB40	1.97799	0.247417	-2.07876	0	0
ENST00000374514	LYPLA2	2.50544	0.52963	-1.55404	1.31744e-07	8.55756e-07
ENST00000374505	LYPLA2	1.22009	2.72177	0.802357	0.0169808	0.04806
ENST00000374501	LYPLA2	0.792071	2.3531	1.08884	0.00179771	0.00639595
ENST00000003912	NPAL3	3.12621	1.08953	-1.05408	0	0
ENST00000339255	NPAL3	0.116833	1.99908	2.83969	0.000439731	0.00176538
ENST00000374399	NPAL3	8.4338	2.61785	-1.16989	4.38538e-13	4.54563e-12
ENST00000374395	RCAN3	2.29889	1.06056	-0.773624	2.37002e-05	0.000116175
ENST00000361547	SEPN1	0	0.237921	Inf	2.10657e-06	1.18929e-05
ENST00000374300	FAM54B	2.52963	1.08441	-0.847031	5.80992e-05	0.00026933
ENST00000384508	U6	0	13.0938	Inf	1.45469e-93	2.00386e-92
ENST00000374266	ZNF593	10.8349	22.7398	0.741341	6.1833e-06	3.29894e-05
ENST00000361530	CNKSR1	6.59337	1.90354	-1.24235	0	0
ENST00000374253	CNKSR1	0.44403	2.83415	1.85361	1.65024e-07	1.05866e-06
ENST00000270792	SH3BGRL3	33.7568	71.0613	0.74436	0	0
ENST00000319041	SH3BGRL3	0.799719	2.71731	1.22314	0.00299251	0.0101885
ENST00000374213	CD52	0	0.0989957	Inf	7.68951e-40	1.02868e-38
ENST00000374194	DHDDS	1.09273	2.85493	0.960374	9.79854e-08	6.45321e-07
ENST00000374192	DHDDS	0.753422	2.7277	1.28659	0.00053107	0.00210068
ENST00000374164	RPS6KA1	0.536799	1.37693	0.941986	0.00151565	0.005476
ENST00000374163	RPS6KA1	0.228557	0	-Inf	0.000945483	0.00356238
ENST00000374162	RPS6KA1	1.32202	0.545511	-0.885191	0.000162335	0.000703663
ENST00000078527	PIGV	4.88111	1.37927	-1.26382	6.66134e-16	8.29898e-15
ENST00000374145	PIGV	1.18177	0.338746	-1.24952	1.93819e-05	9.62929e-05
ENST00000361771	WDTC1	0.531004	2.27764	1.45613	0.00370501	0.0123827
ENST00000374073	TMEM222	2.14721	0.95645	-0.808695	0.00180304	0.00641129
ENST00000374024	GPR3	0.450683	3.6062	2.07965	1.42395e-11	1.31895e-10
ENST00000010299	FAM76A	1.23014	0.25502	-1.57354	7.14536e-06	3.77473e-05
ENST00000234549	FAM76A	0	0.301353	Inf	0.000147396	0.000643661
ENST00000406404	RP3-426I6.2	17.7005	35.4162	0.693577	0.000959592	0.00361122
ENST00000388959	RPE	0.110252	0.392423	1.26957	0.00783749	0.0242512
ENST00000373939	STX12	0.790314	0.334095	-0.861006	0.00350155	0.0117643
ENST00000399118	PPP1R8	0.444201	3.49431	2.06261	3.06519e-07	1.91262e-06
ENST00000253063	SESN2	5.86296	11.8161	0.700808	0	0
ENST00000373834	RCC1	0	1.6235	Inf	4.86166e-22	6.38743e-21
ENST00000373833	RCC1	2.07394	7.55578	1.29286	0	0
ENST00000363217	SNORA73	97.8708	48.414	-0.703859	0.00532616	0.0171441
ENST00000389290	RAB42	0.555319	7.17296	2.55853	5.19051e-12	4.97731e-11
ENST00000361872	GMEB1	0.340361	1.9657	1.7536	1.05881e-06	6.20508e-06
ENST00000398918	GMEB1	4.23323	1.45472	-1.06815	1.64829e-09	1.28313e-08
ENST00000343067	EPB41	0.397922	0	-Inf	1.43635e-07	9.27928e-07
ENST00000349460	EPB41	0.133996	0	-Inf	0.000456743	0.00182701
ENST00000356093	EPB41	2.10274	0.18463	-2.43264	0	0
ENST00000398861	EPB41	2.62891	0.379554	-1.93533	0	0
ENST00000398863	EPB41	0.253946	1.26683	1.60715	1.7358e-10	1.46405e-09
ENST00000373798	EPB41	3.26929	8.61342	0.968748	0	0
ENST00000383977	Y_RNA	3.61292	0	-Inf	6.78039e-298	9.92018e-297
ENST00000334039	AL137857.29	0.163996	0.695442	1.4447	6.00366e-05	0.00027796
ENST00000403321	TINAGL1	0.615599	2.72292	1.48686	1.67288e-07	1.07225e-06
ENST00000271064	TINAGL1	1.19265	4.16239	1.24991	1.74542e-07	1.11598e-06
ENST00000336294	TMEM39B	2.8834	0.945825	-1.11467	1.11781e-06	6.53089e-06
ENST00000373602	CCDC28B	2.31339	4.94707	0.760081	0.00389358	0.012954
ENST00000373582	FAM167B	1.51214	4.92466	1.18073	4.16048e-05	0.000196844
ENST00000401073	KIAA1522	6.40056	1.39095	-1.5264	0	0
ENST00000373481	KIAA1522	1.9649	5.23492	0.979908	0	0
ENST00000373467	HPCA	0.0391966	0	-Inf	2.72976e-12	2.67291e-11
ENST00000338513	GJB5	2.18268	4.45669	0.713855	0.000806547	0.0030816
ENST00000373329	ZMYM1	5.8084	1.98645	-1.07296	0.00210671	0.00739439
ENST00000373330	ZMYM1	3.34615	1.18212	-1.0405	2.22045e-16	2.82138e-15
ENST00000246314	EIF2C3	1.31558	0.629848	-0.736555	0.000801267	0.00306381
ENST00000373185	EIF2C3	2.25328	0.653907	-1.23718	2.58e-11	2.34055e-10
ENST00000397823	EIF2C3	1.93366	6.22137	1.16858	0	0
ENST00000373082	ZC3H12A	1.18905	5.08516	1.45318	1.99903e-10	1.67836e-09
ENST00000373087	ZC3H12A	1.44541	5.86366	1.40038	2.34701e-12	2.30633e-11
ENST00000373043	C1orf122	0.550674	1.17697	0.759559	0.0126032	0.0369204
ENST00000404173	RP11-109P14.8	0.0682358	0.031444	-0.774761	0	0
ENST00000289893	MACF1	0	0.0329721	Inf	7.71591e-05	0.000350964
ENST00000356511	PPIE	1.85944	0.558645	-1.20251	0.00109265	0.00406815
ENST00000340450	CAP1	0.270996	1.94426	1.97053	2.89168e-09	2.1986e-08
ENST00000372792	CAP1	11.0223	4.80858	-0.829519	4.73399e-13	4.89201e-12
ENST00000372771	RLF	10.8701	24.8087	0.825178	0	0
ENST00000372703	DEM1	0.801231	0.175665	-1.51757	0.00601551	0.0191419
ENST00000372655	NFYC	1.05999	10.9266	2.33294	0	0
ENST00000372657	NFYC	2.11528	0	-Inf	3.1064e-08	2.14762e-07
ENST00000372658	NFYC	3.0145	6.28394	0.734562	0.000530672	0.00209948
ENST00000372654	NFYC	0.868507	2.00207	0.835159	0.00614781	0.0195178
ENST00000372652	NFYC	1.11805	0.41318	-0.995455	0.000899709	0.00340447
ENST00000372651	NFYC	0.844382	2.62963	1.13599	0.000544288	0.00214968
ENST00000387546	AC096540.2	0	2.19169	Inf	0	0
ENST00000372517	ERMAP	0.0226914	0.30555	2.60013	0.00325445	0.0110063
ENST00000372514	ERMAP	2.61553	0.329404	-2.07194	0	0
ENST00000328249	ERMAP	0.974818	0.233402	-1.42949	3.57271e-07	2.21518e-06
ENST00000372506	ZNF691	4.86432	1.7067	-1.04736	5.29486e-10	4.28855e-09
ENST00000372504	ZNF691	0	0.537411	Inf	3.52194e-06	1.93892e-05
ENST00000372502	ZNF691	0	0.262089	Inf	0.00156976	0.00565249
ENST00000262915	ST3GAL3	0	0.183969	Inf	0.000786114	0.00301005
ENST00000347631	ST3GAL3	0	0.190597	Inf	0.000970114	0.00364739
ENST00000361392	ST3GAL3	1.17475	0.0287063	-3.71169	1.70554e-05	8.5438e-05
ENST00000372375	ST3GAL3	0.781132	0.214938	-1.2904	0.00052343	0.00207269
ENST00000372365	ST3GAL3	0	0.58229	Inf	0.00505496	0.0163584
ENST00000372366	ST3GAL3	0	0.583055	Inf	0.00515128	0.0166285
ENST00000361746	ST3GAL3	0.768397	0.11159	-1.92948	6.45446e-05	0.000297425
ENST00000361812	ST3GAL3	0	0.147556	Inf	0.0167796	0.0475731
ENST00000372377	ST3GAL3	0.759328	0.0368288	-3.02615	0.000168603	0.000729328
ENST00000372354	ARTN	0.000285279	0.165065	6.36063	0	0
ENST00000255108	DPH2	7.18284	15.3889	0.761955	0	0
ENST00000396758	DPH2	5.07773	10.2574	0.703134	1.81157e-06	1.03121e-05
ENST00000361745	DMAP1	3.08306	8.33141	0.994111	1.79627e-09	1.39193e-08
ENST00000372283	DMAP1	4.31688	0.794671	-1.69236	1.8372e-12	1.82038e-11
ENST00000372248	RNF220	0.879018	0.2971	-1.08474	0.000759414	0.00291644
ENST00000357508	C1orf228	0.524352	0.0134901	-3.66021	1.95399e-14	2.21113e-13
ENST00000372201	PLK3	0.902448	2.24111	0.909616	0.000109804	0.000488459
ENST00000372139	UROD	16.2426	7.32439	-0.796429	3.07132e-12	2.99074e-11
ENST00000372082	MMACHC	2.53054	5.14783	0.710142	2.87789e-05	0.000139395
ENST00000351223	NASP	22.6793	8.54394	-0.97623	0	0
ENST00000341288	NASP	0.130921	0	-Inf	0.00635154	0.0200634
ENST00000403545	RP4-533D7.3	0.630087	0	-Inf	0	0
ENST00000372003	TSPAN1	1.83859	0.179107	-2.32877	1.90319e-07	1.21263e-06
ENST00000371980	C1orf190	0	0.00463215	Inf	0	0
ENST00000401058	AL122001.32-3	1.57637	0.692587	-0.822446	1.1189e-05	5.7549e-05
ENST00000396322	AL122001.32-2	0	0.960738	Inf	0.00127504	0.00468076
ENST00000334793	FOXD2	0.464568	0.167149	-1.02222	0.00236901	0.00823435
ENST00000242719	RNF11	37.8152	11.9145	-1.15496	0	0
ENST00000337809	OSBPL9	6.59187	0	-Inf	5.04549e-46	6.78062e-45
ENST00000371709	OSBPL9	0.99671	2.43736	0.894212	0.00029193	0.0012113
ENST00000406515	RP4-657D16.5	0	0.0380592	Inf	0	0
ENST00000349805	OSBPL9	0.812317	3.53888	1.47168	2.42757e-09	1.86018e-08
ENST00000313334	BTF3L4	4.15488	11.239	0.995103	0	0
ENST00000357206	ZFYVE9	0.361309	1.90493	1.66247	5.74896e-12	5.49488e-11
ENST00000371529	ZYG11A	0	0.197419	Inf	4.02261e-05	0.000190628
